iter	Quantile:alpha=0.9
324	3.407469826
325	3.404944038
326	3.401608243
327	3.400698898
328	3.398096176
329	3.395576073
330	3.394247021
331	3.391293656
332	3.389193378
333	3.38769634
334	3.386020042
335	3.384630186
336	3.382658727
337	3.381674026
338	3.379365901
339	3.377586986
340	3.374079104
341	3.371929022
342	3.368778263
343	3.367027103
344	3.366075045
345	3.365103052
346	3.363205297
347	3.360505585
348	3.359987588
349	3.357117705
350	3.355790156
351	3.353853418
352	3.352505484
353	3.350812034
354	3.347522173
355	3.34591302
356	3.345367356
357	3.34437566
358	3.342522043
359	3.33963326
360	3.338066391
361	3.336227475
362	3.333890246
363	3.330872142
364	3.329033555
365	3.327957993
366	3.326522565
367	3.324976175
368	3.321558485
369	3.317832771
370	3.315653454
371	3.313426708
372	3.311760112
373	3.310231102
374	3.308734072
375	3.307208802
376	3.304019039
377	3.301749031
378	3.298722822
379	3.297627415
380	3.296523538
381	3.294621134
382	3.291858824
383	3.290489977
384	3.289284272
385	3.287743135
386	3.286597737
387	3.284427682
388	3.282884981
389	3.281928257
390	3.279111833
391	3.277131948
392	3.275782959
393	3.274388877
394	3.27186319
395	3.271247124
396	3.269926302
397	3.267384738
398	3.266177793
399	3.264430544
400	3.262367205
401	3.259657031
402	3.257815113
403	3.256760475
404	3.254917009
405	3.253269425
406	3.251663811
407	3.250239438
408	3.249805713
409	3.24871589
410	3.247153465
411	3.244907822
412	3.244478172
413	3.242702347
414	3.240660494
415	3.238986695
416	3.23720277
417	3.234529326
418	3.233133325
419	3.230984511
420	3.229073577
421	3.226870326
422	3.225572212
423	3.22365253
424	3.221763934
425	3.220017673
426	3.21887594
427	3.21844552
428	3.217642206
429	3.215231932
430	3.213511615
431	3.212027202
432	3.21050985
433	3.208936296
434	3.206473205
435	3.204604107
436	3.203481264
437	3.20202393
438	3.201124155
439	3.199158853
440	3.196534048
441	3.194434545
442	3.193299839
443	3.192053685
444	3.191102393
445	3.189339442
446	3.187446122
447	3.185757979
448	3.184355712
449	3.18301469
450	3.181567233
451	3.180271416
452	3.178824359
453	3.177223514
454	3.175610862
455	3.173873455
456	3.173103513
457	3.170882654
458	3.169162827
459	3.167899836
460	3.167142369
461	3.165818399
462	3.164621746
463	3.163083434
464	3.162141131
465	3.160055
466	3.159252968
467	3.157252746
468	3.156881369
469	3.155462297
470	3.154421976
471	3.152415225
472	3.150521994
473	3.14980258
474	3.147793708
475	3.146676523
476	3.145418543
477	3.144668041
478	3.142671392
479	3.141333109
480	3.139467734
481	3.13858236
482	3.13803678
483	3.136663694
484	3.134616847
485	3.133608443
486	3.13288098
487	3.131658115
488	3.12968309
489	3.128768471
490	3.128048871
491	3.125685221
492	3.124468889
493	3.122856096
494	3.121952518
495	3.121453619
496	3.119776342
497	3.118941154
498	3.118371024
499	3.115602929
500	3.113648784
501	3.112852165
502	3.111403183
503	3.109581117
504	3.107957588
505	3.106609292
506	3.105334388
507	3.104379127
508	3.103778517
509	3.102410678
510	3.101805325
511	3.101002277
512	3.098758042
513	3.097245411
514	3.096248352
515	3.095129899
516	3.093785219
517	3.093123716
518	3.092450212
519	3.090468631
520	3.089286883
521	3.08798439
522	3.08730202
523	3.0866547
524	3.08563547
525	3.085167103
526	3.084177236
527	3.082611875
528	3.082115511
529	3.081104138
530	3.080192896
531	3.079448989
532	3.077798161
533	3.07696304
534	3.07623431
535	3.075665535
536	3.074318525
537	3.073676638
538	3.072394649
539	3.072115743
540	3.071980221
541	3.071210733
542	3.070544235
543	3.069026648
544	3.067488862
545	3.06664956
546	3.064463631
547	3.062623605
548	3.061784336
549	3.060211035
550	3.059328069
551	3.058550008
552	3.057109191
553	3.055920888
554	3.055307363
555	3.054273258
556	3.052751653
557	3.052293524
558	3.051493679
559	3.050570386
560	3.04960377
561	3.04901658
562	3.048427754
563	3.047826168
564	3.047252677
565	3.046094758
566	3.045432373
567	3.044486253
568	3.043511399
569	3.042098961
570	3.041135899
571	3.040691006
572	3.040147181
573	3.039570876
574	3.039228652
575	3.03835864
576	3.03785897
577	3.036063971
578	3.035000319
579	3.03455216
580	3.033606636
581	3.032444537
582	3.032168587
583	3.031787042
584	3.031504473
585	3.030560726
586	3.030148443
587	3.028936734
588	3.028106095
589	3.027840427
590	3.027378246
591	3.026543632
592	3.025666783
593	3.025360887
594	3.025185645
595	3.025069693
596	3.024723695
597	3.023372436
598	3.022529424
599	3.021689554
600	3.02075683
601	3.018994468
602	3.01802688
603	3.017244326
604	3.016761185
605	3.015876544
606	3.015436006
607	3.014694877
608	3.014043738
609	3.013779719
610	3.013237536
611	3.012607855
612	3.011641023
613	3.011113651
614	3.009828367
615	3.008136262
616	3.007585925
617	3.00717203
618	3.006460983
619	3.005792593
620	3.005088188
621	3.004393985
622	3.004307032
623	3.003051243
624	3.00247549
625	3.001823651
626	3.001609644
627	3.001351737
628	3.000395509
629	2.999847797
630	2.998972146
631	2.99813127
632	2.997894946
633	2.997261949
634	2.996831828
635	2.996041898
636	2.99530419
637	2.994460007
638	2.992948287
639	2.992089579
640	2.991649208
641	2.991155276
642	2.990639655
643	2.990100281
644	2.989458799
645	2.98857667
646	2.988046794
647	2.987629901
648	2.987293069
649	2.98673969
650	2.986133179
651	2.985321085
652	2.985014216
653	2.983861825
654	2.983022938
655	2.982158929
656	2.981599056
657	2.980554563
658	2.980193228
659	2.978627627
660	2.977458843
661	2.976883781
662	2.976381146
663	2.976007361
664	2.975207995
665	2.974789898
666	2.973727865
667	2.972517984
668	2.9717904
669	2.971117334
670	2.970303761
671	2.970017591
672	2.968557141
673	2.967822485
674	2.966415832
675	2.966174182
676	2.96559593
677	2.965163352
678	2.963521982
679	2.962012519
680	2.961526783
681	2.961334045
682	2.960919596
683	2.960557597
684	2.9597218
685	2.958740682
686	2.957180559
687	2.956359495
688	2.956117645
689	2.955194256
690	2.954140267
691	2.953506675
692	2.952205336
693	2.951946652
694	2.95132227
695	2.948836251
696	2.948197077
697	2.947202521
698	2.946375182
699	2.945647329
700	2.945198973
701	2.944699056
702	2.94418421
703	2.943251981
704	2.942655743
705	2.941566799
706	2.940992788
707	2.940633981
708	2.939875242
709	2.938743308
710	2.938116966
711	2.937680946
712	2.936565446
713	2.935290355
714	2.934102552
715	2.933792026
716	2.933492474
717	2.933220548
718	2.932382733
719	2.931529179
720	2.931313237
721	2.930579225
722	2.929813825
723	2.929333957
724	2.928708035
725	2.92797361
726	2.927724269
727	2.926097329
728	2.924956349
729	2.924788917
730	2.924731495
731	2.923664699
732	2.922663465
733	2.921761609
734	2.92110456
735	2.920521277
736	2.919963868
737	2.918915287
738	2.918558087
739	2.917917527
740	2.917206542
741	2.915798842
742	2.91455315
743	2.914169397
744	2.913402485
745	2.912925745
746	2.912461434
747	2.911344388
748	2.91067688
749	2.909321563
750	2.909286804
751	2.909052901
752	2.908526581
753	2.907435854
754	2.906685373
755	2.906426547
756	2.906395862
757	2.906137568
758	2.905848853
759	2.905215982
760	2.904856005
761	2.903952388
762	2.903302
763	2.903084036
764	2.902660612
765	2.902502212
766	2.901996933
767	2.90194622
768	2.901647248
769	2.90101539
770	2.90080395
771	2.900801171
772	2.900219474
773	2.899669228
774	2.899285629
775	2.899058746
776	2.898770174
777	2.898646678
778	2.89818633
779	2.897955513
780	2.897905091
781	2.896539416
782	2.895690477
783	2.894403876
784	2.893887879
785	2.892974813
786	2.892951945
787	2.892660657
788	2.891727671
789	2.890469274
790	2.890167488
791	2.889267218
792	2.888620617
793	2.888215795
794	2.888012971
795	2.886792394
796	2.886218472
797	2.885503228
798	2.88482755
799	2.884518704
